Licensee,Fiscal_Year,date,Wag,Patron_win,Cancelled_wag,Monthly_resettlements ,Online_Sports,Fed_tax,Unadj_month_game_rev,Coup_credit_wag,Promo_Deduct,Total_gross_game_rev,Payment ,
CT Lottery Corp,2022/23,2022-09-30,9480658,8307642,31622,-450,1141843,23623,1118221,211201,211201,907020,124715,
"MPI Master Wagering License CT, LLC",2022/23,2022-08-31,29419669,25273683,169731,108792,3867463,71569,3795893,527939,527939,3267955,449344,
"Mohegan Digital, LLC",2022/23,2022-08-31,35089662,30326314,378368,65525,4319456,84776,4234680,800957,800957,3433723,472137,
CT Lottery Corp,2022/23,2022-08-31,8512696,7560957,35515,8498,907725,21193,886532,181008,181008,705524,97010,
"MPI Master Wagering License CT, LLC",2022/23,2022-07-31,32725454,28975727,380201,72442,3297084,79371,3217713,477145,477145,2740568,376828,
"Mohegan Digital, LLC",2022/23,2022-07-31,30225550,26832500,318669,10471,3063909,73127,2990782,656091,656091,2334692,321020,
CT Lottery Corp,2022/23,2022-07-31,9988853,9049691,55178,1187,882797,24834,857962,171541,171541,686421,94383,
"MPI Master Wagering License CT, LLC",2021/22,2022-06-30,41063793,38423206,320444,47000,2273142,100511,2172631,428903,428903,1743728,239763,
"Mohegan Digital, LLC",2021/22,2022-06-30,38791669,35374626,271130,2591,3143322,93227,3050095,1229862,762524,2287572,314541,
CT Lottery Corp,2021/22,2022-06-30,9006240,8508929,41213,12096,444003,22413,421591,193355,105398,316193,43477,
"MPI Master Wagering License CT, LLC",2021/22,2022-05-31,50667131,47114609,509831,27402,3015289,123838,2891450,500124,500124,2391326,328807,9
"Mohegan Digital, LLC",2021/22,2022-05-31,47301038,41913237,296742,-6865,5097924,114362,4983562,1259496,1245890,3737671,513930,
CT Lottery Corp,2021/22,2022-05-31,9777896,8930482,60750,4361,782302,24293,758009,219855,189502,568507,78170,
"MPI Master Wagering License CT, LLC",2021/22,2022-04-30,49181736,45420651,280812,166787,3313485,120008,3193477,760126,760126,2433351,334586,
"Mohegan Digital, LLC",2021/22,2022-04-30,47280831,41956599,248050,19113,5057068,114687,4942381,1158002,1158002,3784379,520352,
CT Lottery Corp,2021/22,2022-04-30,12978059,12328363,67032,32304,550359,32278,518082,232747,129520,388561,53427,
"MPI Master Wagering License CT, LLC",2021/22,2022-03-31,61512587,57887273,137393,33404,3454517,150987,3303530,829706,825882,2477647,340677,8
"Mohegan Digital, LLC",2021/22,2022-03-31,56296979,51215571,185142,61676,4834590,137199,4697391,1232187,1174348,3523044,484418,
CT Lottery Corp,2021/22,2022-03-31,14134715,13159851,30092,-47380,992151,35262,956890,307246,239222,717667,98679,
"MPI Master Wagering License CT, LLC",2021/22,2022-02-28,48878223,45513628,124509,87270,3152817,115734,3037083,2244890,759271,2277812,313199,8
"Mohegan Digital, LLC",2021/22,2022-02-28,47258921,45983117,167100,34623,1074082,115084,958998,1058178,239749,719248,98897,
CT Lottery Corp,2021/22,2022-02-28,12633625,12148061,26918,14797,443848,31517,412332,451065,103083,309249,42522,
"MPI Master Wagering License CT, LLC",2021/22,2022-01-31,73721647,67172043,181313,28687,6339605,177370,6162234,2194575,1540559,4621676,635480,8
"Mohegan Digital, LLC",2021/22,2022-01-31,61980661,58425620,125392,45392,3384257,150105,3234153,1813431,808538,2425614,333522,
